,Unnamed: 0,ALT_NORMAL,ALTGEOM,AR_LIVRE,GRAVIDADE,INSTITUICA,LATITUDE,LONGITUDE,X,Y,__X,__Y,_x,_y,distance_to_main_line,Path_Distance
81,9107,884.12149021802,886.027243152614,36.2372846414859,978683.76,ANP,-24.49901046,-50.79777071,5324534.74270204,7285679.13624182,5324534.74270204,7285679.13624182,5324534.74270204,7285679.13624182,15136.84673533664,122080.99932399321
82,10213,855.95872378839,857.864406651873,34.2835208784873,978690.44,ANP,-24.49822048,-50.79537067,5324779.96580049,7285761.08980383,5324779.96580049,7285761.08980383,5324779.96580049,7285761.08980383,15269.721223265808,122339.55445223422
83,34389,860.56,0.0,0.0,978690.44,ANP,-24.5,-50.79,5325319.5870087,7285551.14161432,5325319.5870087,7285551.14161432,5325319.5870087,7285551.14161432,15816.083593527812,122918.57888231301
84,9583,861.354386703879,863.270170692716,34.8203118991816,978689.39,ANP,-24.49936057,-50.78889063,5325433.64397872,7285619.42931303,5325433.64397872,7285619.42931303,5325433.64397872,7285619.42931303,15858.253505089471,123051.5157177096
85,10081,843.700743865453,845.606120705817,35.757153795609,978695.46,ANP,-24.49477053,-50.78718055,5325618.75329245,7286124.34632963,5325618.75329245,7286124.34632963,5325618.75329245,7286124.34632963,15670.253087191424,123589.29508853202
86,10055,871.615613769739,873.531029638817,38.4283384365293,978689.55,ANP,-24.49521051,-50.78108052,5326235.74259631,7286061.17392761,5326235.74259631,7286061.17392761,5326235.74259631,7286061.17392761,16179.853255004424,124209.51001374307
87,10054,844.542796515231,846.447857560662,34.4593546222465,978693.66,ANP,-24.49121054,-50.78038049,5326317.00736523,7286503.04159868,5326317.00736523,7286503.04159868,5326317.00736523,7286503.04159868,15954.028750756197,124658.78832548867
88,9573,874.17002951461,876.064720660227,37.7526806194263,978687.53,ANP,-24.48704054,-50.78039049,5326326.76134633,7286965.43859255,5326326.76134633,7286965.43859255,5326326.76134633,7286965.43859255,15660.545846503575,125121.28818504242
89,10024,846.333990427763,848.238393299434,34.9371410859216,978693.08,ANP,-24.4837905,-50.77566041,5326814.4995304,7287314.63244373,5326814.4995304,7287314.63244373,5326814.4995304,7287314.63244373,15803.66946033171,125721.14223554273
90,9567,877.674078332059,879.558154832441,38.675414618566,978686.9,ANP,-24.48011051,-50.7783904,5326547.34707882,7287729.12413092,5326547.34707882,7287729.12413092,5326547.34707882,7287729.12413092,15331.098493479847,126214.26878231835
91,9566,861.840947345509,863.724763141857,36.4513867333969,978689.36,ANP,-24.47717049,-50.77665041,5326731.28039559,7288051.00630208,5326731.28039559,7288051.00630208,5326731.28039559,7288051.00630208,15261.308891601098,126584.99725051178
92,10027,811.937982818071,813.82178797265,30.7553942788233,978699.05,ANP,-24.47705047,-50.77338042,5327062.9896408,7288056.58423449,5327062.9896408,7288056.58423449,5327062.9896408,7288056.58423449,15509.552989517098,126916.75339090422
93,9565,845.127141245382,847.000598871768,34.3605038346769,978692.15,ANP,-24.47313046,-50.77575036,5326832.9376189,7288496.84239757,5326832.9376189,7288496.84239757,5326832.9376189,7288496.84239757,15048.386484554883,127413.49394988708
94,9552,803.54202460277,805.415217221939,30.0756655163141,978700.49,ANP,-24.47014049,-50.77157039,5327264.30863634,7288818.49024764,5327264.30863634,7288818.49024764,5327264.30863634,7288818.49024764,15166.63396740885,127951.58157671208
95,9980,787.643792580753,789.506754806527,29.028197387726,978704.17,ANP,-24.46754042,-50.77504032,5326919.34687513,7289114.99411681,5326919.34687513,7289114.99411681,5326919.34687513,7289114.99411681,14711.757376265616,128406.4586602524
96,9981,808.767719756241,810.630403829369,30.3683207510084,978698.78,ANP,-24.46440048,-50.77067037,5327370.38020826,7289452.82081826,5327370.38020826,7289452.82081826,5327370.38020826,7289452.82081826,14834.407021751369,128969.98146174957
97,34368,885.34,0.0,0.0,978685.54,ANP,-24.46,-50.77,5327449.71339338,7289939.16574177,5327449.71339338,7289939.16574177,5327449.71339338,7289939.16574177,14578.173748194537,129462.75436977563
98,9892,817.220865178159,819.072905624711,33.0006081065119,978698.31,ANP,-24.45713048,-50.76781029,5327679.09024816,7290252.15901741,5327679.09024816,7290252.15901741,5327679.09024816,7290252.15901741,14548.674522835869,129850.79886735936
99,9893,817.348806186905,819.200864330833,31.5964710449241,978696.88,ANP,-24.45733047,-50.76433026,5328031.31277262,7290221.73943535,5328031.31277262,7290221.73943535,5328031.31277262,7290221.73943535,14835.918954529983,130204.33254002625
100,8716,918.627050626541,920.468735438579,43.535625111523,978677.29,ANP,-24.45311039,-50.76583023,5327890.2056443,7290693.22332818,5327890.2056443,7290693.22332818,5327890.2056443,7290693.22332818,14421.971068496538,130696.47914710664
101,9558,858.523835404412,860.375584783088,38.2356307545492,978690.58,ANP,-24.45384043,-50.7611002,5328367.76960732,7290601.06177928,5328367.76960732,7290601.06177928,5328367.76960732,7290601.06177928,14844.56637950735,131182.85460893746
102,9557,877.711811010522,879.553267707365,39.209830691711,978685.41,ANP,-24.45053047,-50.76080019,5328406.76631903,7290967.36480496,5328406.76631903,7290967.36480496,5328406.76631903,7290967.36480496,14635.818011374868,131551.2275858864
103,34302,882.31,0.0,0.0,978685.41,ANP,-24.45,-50.76,5328489.25524276,7291024.285747,5328489.25524276,7291024.285747,5328489.25524276,7291024.285747,14661.414181765625,131651.44942073754
104,9698,890.08964304079,891.941150128553,40.0493214657213,978682.47,ANP,-24.45110047,-50.7574102,5328748.91800734,7290896.11525381,5328748.91800734,7290896.11525381,5328748.91800734,7290896.11525381,14941.984177434753,131941.0222555027
105,8714,882.63685972277,884.468001805939,39.131210016532,978683.57,ANP,-24.44697045,-50.75780012,5328720.1158128,7291354.98667257,5328720.1158128,7291354.98667257,5328720.1158128,7291354.98667257,14621.518914201382,132400.7967060383
106,8713,904.942006960382,906.783104872268,41.0257774672292,978678.55,ANP,-24.44647045,-50.75217012,5329292.12580471,7291397.04865237,5329292.12580471,7291397.04865237,5329292.12580471,7291397.04865237,15028.487614375907,132974.35109839353
107,9699,892.128407384356,893.979385169049,39.4556075058876,978680.84,ANP,-24.44511043,-50.74827011,5329691.0096114,7291538.5699175,5329691.0096114,7291538.5699175,5329691.0096114,7291538.5699175,15239.278202615393,133397.596369747
108,8712,903.707792972928,905.548655081049,40.276623385739,978678.0,ANP,-24.44380047,-50.74876008,5329644.75082517,7291684.98851016,5329644.75082517,7291684.98851016,5329644.75082517,7291684.98851016,15108.875962187374,133551.14857448495
109,34321,850.47,0.0,0.0,978690.02,ANP,-24.44,-50.75,5329528.94580278,7292109.3459976,5329528.94580278,7292109.3459976,5329528.94580278,7292109.3459976,14744.806417738931,133991.02364806534
110,9765,823.345622495114,825.16593574658,32.5495526501805,978694.64,ANP,-24.43758037,-50.75146004,5329387.22610786,7292381.11409006,5329387.22610786,7292381.11409006,5329387.22610786,7292381.11409006,14460.351743029201,134297.5238405735
111,9773,760.107113262948,761.917279284064,26.2947402588213,978707.78,ANP,-24.43591044,-50.75452006,5329081.34863953,7292573.55398376,5329081.34863953,7292573.55398376,5329081.34863953,7292573.55398376,14102.86880596952,134658.90195047949
112,9766,767.542812390881,769.342768673616,25.6903897059826,978704.72,ANP,-24.43353044,-50.75106006,5329438.30580863,7292829.22906781,5329438.30580863,7292829.22906781,5329438.30580863,7292829.22906781,14207.541861929649,135097.97844629263
113,9770,817.029622664808,818.829335865365,29.8341061072021,978693.41,ANP,-24.43077041,-50.74896999,5329657.37785211,7293130.29592578,5329657.37785211,7293130.29592578,5329657.37785211,7293130.29592578,14177.978693908315,135470.31406532845
114,34322,821.61,0.0,0.0,978693.41,ANP,-24.43,-50.75,5329554.95661641,7293218.17160314,5329554.95661641,7293218.17160314,5329554.95661641,7293218.17160314,14043.025968815964,135605.26681333256
115,9704,833.387810483839,835.187467338687,31.4538460726455,978689.94,ANP,-24.43013038,-50.74672001,5329887.15208756,7293195.90818825,5329887.15208756,7293195.90818825,5329887.15208756,7293195.90818825,14309.756089409626,135938.20748476678
116,9414,850.714165328666,852.503415730066,32.9127108839175,978685.74,ANP,-24.42551041,-50.74593002,5329979.27211266,7293706.30193312,5329979.27211266,7293706.30193312,5329979.27211266,7293706.30193312,14047.583167842347,136456.8478937468
117,9799,838.122347036355,839.911542925449,32.0605108095733,978688.73,ANP,-24.42489037,-50.74393994,5330182.65440189,7293770.31295179,5330182.65440189,7293770.31295179,5330182.65440189,7293770.31295179,14160.362563604078,136670.0655433061
118,9783,871.969306005009,873.768514203506,35.2620952729096,978681.5,ANP,-24.42503039,-50.74024989,5330556.41190582,7293745.98906167,5330556.41190582,7293745.98906167,5330556.41190582,7293745.98906167,14459.992387763965,137044.61370225792
119,9784,812.604613643745,814.403729550621,26.6405422073128,978691.12,ANP,-24.42398044,-50.73564985,5331025.53674405,7293851.42951599,5331025.53674405,7293851.42951599,5331025.53674405,7293851.42951599,14747.59683181839,137525.4419494021
120,9785,887.245600481197,889.024420336838,35.6948403784595,978676.92,ANP,-24.42061038,-50.73926987,5330667.30233957,7294233.75570001,5330667.30233957,7294233.75570001,5330667.30233957,7294233.75570001,14226.796058283173,138049.37438735575
121,9786,872.192138817769,873.960497172439,34.7086011808742,978680.22,ANP,-24.4153504,-50.73895991,5330712.44844933,7294816.25948426,5330712.44844933,7294816.25948426,5330712.44844933,7294816.25948426,13882.031677849152,138633.6250440885
122,9789,878.909965478385,880.668075834869,35.45316449092,978678.7,ANP,-24.41252035,-50.73924989,5330690.42566466,7295130.75611661,5330690.42566466,7295130.75611661,5330690.42566466,7295130.75611661,13660.66120271853,138948.89181176937
123,9791,837.830388749409,839.578372124587,32.6494704502864,978688.47,ANP,-24.41107031,-50.74087992,5330528.92480205,7295295.42825536,5330528.92480205,7295295.42825536,5330528.92480205,7295295.42825536,13430.875367784285,139179.54185383313
124,10488,829.608543651093,831.336180555765,31.4721655728207,978689.56,ANP,-24.40711034,-50.74161984,5330464.21493739,7295736.28513646,5330464.21493739,7295736.28513646,5330464.21493739,7295736.28513646,13094.867016557599,139625.12254932852
125,9790,876.286199679552,878.033939775686,35.871144157063,978679.64,ANP,-24.40829031,-50.73693987,5330935.69061676,7295594.28441345,5330935.69061676,7295594.28441345,5330935.69061676,7295594.28441345,13545.27053457027,140117.51824546454
126,10035,865.390363237423,867.107454266196,33.0046578372479,978679.63,ANP,-24.40086031,-50.73639981,5331009.83703581,7296416.85782217,5331009.83703581,7296416.85782217,5331009.83703581,7296416.85782217,13066.309453047368,140943.42665696648
127,10039,816.44036878076,818.137158146532,30.2094334484188,978691.7,ANP,-24.39740032,-50.73904977,5330750.13265987,7296806.83391397,5330750.13265987,7296806.83391397,5330750.13265987,7296806.83391397,12615.346665293233,141411.96450501922
128,4463,863.14858769609,864.835011387263,30.8232755811403,978677.62,PETROBRAS,-24.3932,-50.7394,5330725.56053766,7297273.41280911,5330725.56053766,7297273.41280911,5330725.56053766,7297273.41280911,12293.078002970222,141879.18999081853
129,34367,855.83,0.0,0.0,978682.69,ANP,-24.39,-50.74,5330673.04835742,7297629.66817361,5330673.04835742,7297629.66817361,5330673.04835742,7297629.66817361,12021.383202005796,142239.29471698657
